   1000.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   61.0580       4.99501       6.96101       4.97916       6.95322      0.158424E-01  0.779582E-02   11.9324       2.78113       2.78000       2.63236       2.19804       1.54103       0.00000       2.63219    
  0.109648E-03   59.0651       4.84684       6.75337       4.83010       6.74512      0.167466E-01  0.824740E-02   11.5752       2.70236       2.70116       2.55523       2.12773       1.48891       0.00000       2.55505    
  0.120226E-03   57.1519       4.70450       6.55376       4.68676       6.54501      0.177337E-01  0.874166E-02   11.2318       2.62652       2.62522       2.48098       2.06024       1.43899       0.00000       2.48080    
  0.131825E-03   55.2708       4.56449       6.35737       4.54573       6.34812      0.187583E-01  0.925527E-02   10.8938       2.55185       2.55046       2.40789       1.99388       1.38994       0.00000       2.40771    
  0.144543E-03   53.4357       4.42784       6.16561       4.40800       6.15581      0.198365E-01  0.979660E-02   10.5638       2.47887       2.47738       2.33646       1.92914       1.34215       0.00000       2.33629    
  0.158489E-03   51.6620       4.29569       5.98004       4.27469       5.96966      0.209955E-01  0.103798E-01   10.2443       2.40813       2.40654       2.26726       1.86656       1.29603       0.00000       2.26709    
  0.173779E-03   49.9183       4.16573       5.79748       4.14353       5.78649      0.221965E-01  0.109849E-01   9.93003       2.33850       2.33679       2.19915       1.80504       1.25073       0.00000       2.19897    
  0.190545E-03   48.2318       4.03997       5.62068       4.01649       5.60905      0.234820E-01  0.116340E-01   9.62553       2.27096       2.26913       2.13311       1.74553       1.20699       0.00000       2.13293    
  0.208928E-03   46.5893       3.91744       5.44831       3.89260       5.43598      0.248404E-01  0.123212E-01   9.32859       2.20503       2.20307       2.06865       1.68757       1.16443       0.00000       2.06848    
  0.229085E-03   44.9754       3.79701       5.27880       3.77076       5.26577      0.262465E-01  0.130334E-01   9.03653       2.14015       2.13805       2.00523       1.63061       1.12266       0.00000       2.00506    
  0.251186E-03   43.4284       3.68150       5.11603       3.65372       5.10222      0.277773E-01  0.138111E-01   8.75595       2.07773       2.07547       1.94424       1.57600       1.08269       0.00000       1.94407    
  0.275420E-03   41.9097       3.56809       4.95612       3.53872       4.94150      0.293674E-01  0.146201E-01   8.48022       2.01634       2.01392       1.88426       1.52238       1.04348       0.00000       1.88410    
