   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   13.5972       1.40527       1.86155       1.39606       1.85721      0.920962E-02  0.433770E-02   3.25327       1.00576       1.00518      0.852140      0.390297       0.00000       0.00000      0.852033    
  0.109648E-03   13.4026       1.37904       1.82798       1.36926       1.82337      0.977556E-02  0.461036E-02   3.19263      0.988026      0.987400      0.836076      0.381234       0.00000       0.00000      0.835967    
  0.120226E-03   13.2088       1.35354       1.79518       1.34314       1.79027      0.103984E-01  0.491149E-02   3.13341      0.970683      0.970006      0.820373      0.372458       0.00000       0.00000      0.820263    
  0.131825E-03   13.0154       1.32834       1.76270       1.31730       1.75747      0.110473E-01  0.522568E-02   3.07477      0.953500      0.952769      0.804816      0.363798       0.00000       0.00000      0.804705    
  0.144543E-03   12.8226       1.30358       1.73067       1.29185       1.72512      0.117334E-01  0.555855E-02   3.01697      0.936546      0.935757      0.789470      0.355304       0.00000       0.00000      0.789358    
  0.158489E-03   12.6306       1.27942       1.69927       1.26694       1.69335      0.124761E-01  0.592001E-02   2.96029      0.919903      0.919051      0.774410      0.347036       0.00000       0.00000      0.774297    
  0.173779E-03   12.4390       1.25554       1.66817       1.24229       1.66187      0.132484E-01  0.629644E-02   2.90416      0.903414      0.902494      0.759489      0.338878       0.00000       0.00000      0.759375    
  0.190545E-03   12.2483       1.23223       1.63765       1.21815       1.63095      0.140806E-01  0.670325E-02   2.84910      0.887218      0.886225      0.744837      0.330932       0.00000       0.00000      0.744723    
  0.208928E-03   12.0583       1.20937       1.60760       1.19440       1.60046      0.149651E-01  0.713672E-02   2.79486      0.871251      0.870179      0.730395      0.323149       0.00000       0.00000      0.730281    
  0.229085E-03   11.8688       1.18679       1.57784       1.17091       1.57025      0.158837E-01  0.758759E-02   2.74116      0.855433      0.854278      0.716088      0.315473       0.00000       0.00000      0.715974    
  0.251186E-03   11.6806       1.16491       1.54879       1.14802       1.54071      0.168928E-01  0.808485E-02   2.68872      0.839968      0.838720      0.702103      0.308047       0.00000       0.00000      0.701989    
  0.275420E-03   11.4929       1.14333       1.52005       1.12538       1.51145      0.179453E-01  0.860450E-02   2.63683      0.824655      0.823308      0.688256      0.300728       0.00000       0.00000      0.688142    
  0.301992E-03   11.3059       1.12215       1.49173       1.10310       1.48257      0.190563E-01  0.915425E-02   2.58567      0.809544      0.808092      0.674593      0.293552       0.00000       0.00000      0.674480    
  0.331127E-03   11.1202       1.10156       1.46399       1.08130       1.45423      0.202602E-01  0.975217E-02   2.53553      0.794722      0.793154      0.661192      0.286577       0.00000       0.00000      0.661080    
  0.363073E-03   10.9350       1.08125       1.43653       1.05974       1.42615      0.215118E-01  0.103749E-01   2.48589      0.780038      0.778349      0.647916      0.279698       0.00000       0.00000      0.647805    
  0.398101E-03   10.7510       1.06147       1.40961       1.03861       1.39856      0.228578E-01  0.110468E-01   2.43717      0.765615      0.763793      0.634875      0.272999       0.00000       0.00000      0.634766    
  0.436509E-03   10.5679       1.04214       1.38312       1.01785       1.37135      0.242898E-01  0.117639E-01   2.38920      0.751403      0.749437      0.622025      0.266445       0.00000       0.00000      0.621917    
  0.478622E-03   10.3854       1.02308       1.35691      0.997306       1.34440      0.257768E-01  0.125097E-01   2.34170      0.737325      0.735209      0.609294      0.259981       0.00000       0.00000      0.609188    
  0.524798E-03   10.2045       1.00469       1.33134      0.977285       1.31801      0.274066E-01  0.133308E-01   2.29530      0.723558      0.721274      0.596843      0.253728       0.00000       0.00000      0.596739    
  0.575429E-03   10.0243      0.986605       1.30608      0.957497       1.29188      0.291083E-01  0.141901E-01   2.24938      0.709930      0.707470      0.584516      0.247567       0.00000       0.00000      0.584415    
  0.630945E-03   9.84507      0.968904       1.28118      0.938003       1.26608      0.309009E-01  0.150977E-01   2.20408      0.696479      0.693830      0.572346      0.241523       0.00000       0.00000      0.572248    
  0.691816E-03   9.66723      0.951783       1.25683      0.918938       1.24074      0.328446E-01  0.160858E-01   2.15968      0.683288      0.680431      0.560406      0.235650       0.00000       0.00000      0.560312    
  0.758561E-03   9.49009      0.934938       1.23274      0.900074       1.21563      0.348646E-01  0.171149E-01   2.11570      0.670219      0.667144      0.548574      0.229855       0.00000       0.00000      0.548484    
  0.831745E-03   9.31425      0.918611       1.20914      0.881579       1.19092      0.370318E-01  0.182230E-01   2.07250      0.657374      0.654063      0.536940      0.224205       0.00000       0.00000      0.536854    
  0.911989E-03   9.13957      0.902730       1.18595      0.863391       1.16654      0.393387E-01  0.194067E-01   2.02993      0.644718      0.641151      0.525470      0.218673       0.00000       0.00000      0.525389    
  0.999975E-03   8.96559      0.887126       1.16301      0.845393       1.14237      0.417333E-01  0.206378E-01   1.98776      0.632179      0.628345      0.514102      0.213214       0.00000       0.00000      0.514026    
  0.109645E-02   8.79331      0.872173       1.14066      0.827823       1.11867      0.443499E-01  0.219898E-01   1.94649      0.619904      0.615773      0.502963      0.207919       0.00000       0.00000      0.502892    
  0.120223E-02   8.62185      0.857535       1.11858      0.810452       1.09518      0.470839E-01  0.234061E-01   1.90563      0.607754      0.603310      0.491930      0.202698       0.00000       0.00000      0.491865    
  0.131822E-02   8.45137      0.843272       1.09684      0.793315       1.07194      0.499572E-01  0.248987E-01   1.86525      0.595751      0.590974      0.481023      0.197565       0.00000       0.00000      0.480964    
  0.144540E-02   8.28245      0.829606       1.07561      0.776534       1.04908      0.530717E-01  0.265245E-01   1.82562      0.583972      0.578830      0.470306      0.192563       0.00000       0.00000      0.470254    
  0.158485E-02   8.11424      0.816220       1.05462      0.759914       1.02640      0.563059E-01  0.282167E-01   1.78631      0.572295      0.566771      0.459675      0.187620       0.00000       0.00000      0.459629    
  0.173775E-02   7.94736      0.803349       1.03406      0.743583       1.00402      0.597654E-01  0.300341E-01   1.74761      0.560802      0.554865      0.449197      0.182781       0.00000       0.00000      0.449159    
  0.190540E-02   7.78166      0.790946       1.01388      0.727499      0.981906      0.634469E-01  0.319759E-01   1.70941      0.549470      0.543087      0.438850      0.178029       0.00000       0.00000      0.438820    
  0.208923E-02   7.61666      0.778827      0.993938      0.711563      0.959944      0.672647E-01  0.339941E-01   1.67151      0.538233      0.531385      0.428582      0.173330       0.00000       0.00000      0.428559    
  0.229079E-02   7.45328      0.767370      0.974521      0.695950      0.938318      0.714195E-01  0.362025E-01   1.63427      0.527208      0.519848      0.418484      0.168743       0.00000       0.00000      0.418470    
  0.251180E-02   7.29068      0.756253      0.955365      0.680492      0.916848      0.757601E-01  0.385167E-01   1.59734      0.516286      0.508386      0.408468      0.164207       0.00000       0.00000      0.408462    
  0.275413E-02   7.12897      0.745514      0.936502      0.665206      0.895553      0.803081E-01  0.409489E-01   1.56076      0.505477      0.497008      0.398541      0.159729       0.00000       0.00000      0.398545    
  0.301984E-02   6.96864      0.735415      0.918116      0.650186      0.874521      0.852290E-01  0.435952E-01   1.52471      0.494848      0.485756      0.388752      0.155338       0.00000       0.00000      0.388765    
