   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   36.8090       3.13997       4.15247       3.12688       4.14599      0.130878E-01  0.647630E-02   7.27287       1.86242       1.86156       1.71084       1.26446      0.573749       0.00000       1.71069    
  0.109648E-03   35.8470       3.06053       4.04879       3.04668       4.04193      0.138522E-01  0.685999E-02   7.08861       1.81804       1.81711       1.66810       1.22864      0.556878       0.00000       1.66795    
  0.120226E-03   34.9126       2.98375       3.94841       2.96907       3.94113      0.146889E-01  0.728100E-02   6.91019       1.77500       1.77400       1.62668       1.19406      0.540604       0.00000       1.62652    
  0.131825E-03   33.9896       2.90806       3.84936       2.89250       3.84164      0.155584E-01  0.771899E-02   6.73414       1.73251       1.73143       1.58579       1.15999      0.524570       0.00000       1.58563    
  0.144543E-03   33.0827       2.83392       3.75222       2.81744       3.74404      0.164748E-01  0.818130E-02   6.56148       1.69081       1.68965       1.54566       1.12664      0.508882       0.00000       1.54551    
  0.158489E-03   32.1978       2.76187       3.65766       2.74441       3.64898      0.174622E-01  0.868051E-02   6.39338       1.65015       1.64891       1.50657       1.09425      0.493656       0.00000       1.50641    
  0.173779E-03   31.3237       2.69084       3.56435       2.67236       3.55516      0.184864E-01  0.919896E-02   6.22751       1.61002       1.60868       1.46798       1.06234      0.478656       0.00000       1.46782    
  0.190545E-03   30.4703       2.62179       3.47347       2.60220       3.46372      0.195852E-01  0.975632E-02   6.06592       1.57088       1.56943       1.43035       1.03133      0.464089       0.00000       1.43019    
  0.208928E-03   29.6331       2.55427       3.38446       2.53352       3.37411      0.207486E-01  0.103475E-01   5.90763       1.53250       1.53095       1.39347       1.00102      0.449855       0.00000       1.39331    
  0.229085E-03   28.8063       2.48773       3.29666       2.46578       3.28570      0.219541E-01  0.109608E-01   5.75148       1.49462       1.49295       1.35707      0.971163      0.435836       0.00000       1.35691    
  0.251186E-03   28.0045       2.42355       3.21174       2.40028       3.20010      0.232705E-01  0.116325E-01   5.60039       1.45791       1.45612       1.32181      0.942376      0.422327       0.00000       1.32166    
  0.275420E-03   27.2134       2.36038       3.12803       2.33574       3.11570      0.246397E-01  0.123322E-01   5.45144       1.42170       1.41978       1.28704      0.914042      0.409032       0.00000       1.28689    
  0.301992E-03   26.4366       2.29856       3.04597       2.27248       3.03290      0.260801E-01  0.130695E-01   5.30538       1.38616       1.38410       1.25292      0.886319      0.396028       0.00000       1.25277    
  0.331127E-03   25.6803       2.23866       2.96623       2.21102       2.95236      0.276326E-01  0.138663E-01   5.16339       1.35157       1.34935       1.21972      0.859452      0.383430       0.00000       1.21958    
  0.363073E-03   24.9337       2.17967       2.88759       2.15043       2.87290      0.292425E-01  0.146937E-01   5.02333       1.31743       1.31506       1.18696      0.832995      0.371027       0.00000       1.18682    
  0.398101E-03   24.2056       2.12242       2.81105       2.09145       2.79547      0.309654E-01  0.155815E-01   4.88692       1.28415       1.28159       1.15503      0.807306      0.358988       0.00000       1.15489    
  0.436509E-03   23.4926       2.06657       2.73619       2.03378       2.71967      0.327905E-01  0.165240E-01   4.75345       1.25155       1.24880       1.12375      0.782235      0.347243       0.00000       1.12362    
  0.478622E-03   22.7891       2.01161       2.66240       1.97693       2.64490      0.346808E-01  0.175015E-01   4.62183       1.21938       1.21644       1.09290      0.757554      0.335682       0.00000       1.09277    
  0.524798E-03   22.1078       1.95874       2.59109       1.92200       2.57252      0.367392E-01  0.185695E-01   4.49451       1.18822       1.18507       1.06303      0.733778      0.324551       0.00000       1.06290    
  0.575429E-03   21.4365       1.90679       2.52088       1.86791       2.50120      0.388816E-01  0.196830E-01   4.36911       1.15751       1.15413       1.03358      0.710403      0.313611       0.00000       1.03346    
  0.630945E-03   20.7779       1.85604       2.45208       1.81491       2.43123      0.411301E-01  0.208540E-01   4.24614       1.12737       1.12374       1.00469      0.687537      0.302912       0.00000       1.00457    
  0.691816E-03   20.1380       1.80703       2.38535       1.76348       2.36323      0.435533E-01  0.221200E-01   4.12671       1.09806       1.09417      0.976601      0.665414      0.292567       0.00000      0.976491    
  0.758561E-03   19.5070       1.75885       2.31959       1.71278       2.29615      0.460642E-01  0.234340E-01   4.00894       1.06914       1.06498      0.948887      0.643638      0.282387       0.00000      0.948784    
  0.831745E-03   18.8922       1.71219       2.25561       1.66345       2.23077      0.487439E-01  0.248402E-01   3.89422       1.04095       1.03649      0.921866      0.622501      0.272512       0.00000      0.921770    
  0.911989E-03   18.2914       1.66684       2.19314       1.61525       2.16680      0.515821E-01  0.263336E-01   3.78206       1.01336       1.00858      0.895425      0.601898      0.262892       0.00000      0.895336    
  0.999975E-03   17.6990       1.62228       2.13159       1.56776       2.10371      0.545195E-01  0.278816E-01   3.67147      0.986135      0.981023      0.869340      0.581623      0.253430       0.00000      0.869259    
  0.109645E-02   17.1263       1.57956       2.07217       1.52186       2.04261      0.577064E-01  0.295675E-01   3.56446      0.959763      0.954285      0.844068      0.562096      0.244325       0.00000      0.843996    
  0.120223E-02   16.5628       1.53773       2.01375       1.47670       1.98243      0.610237E-01  0.313259E-01   3.45913      0.933787      0.927927      0.819175      0.542915      0.235388       0.00000      0.819111    
  0.131822E-02   16.0103       1.49693       1.95651       1.43243       1.92334      0.644959E-01  0.331704E-01   3.35577      0.908282      0.902017      0.794731      0.524147      0.226650       0.00000      0.794677    
  0.144540E-02   15.4749       1.45774       1.90110       1.38951       1.86594      0.682332E-01  0.351633E-01   3.25544      0.883497      0.876792      0.770973      0.506008      0.218216       0.00000      0.770929    
  0.158485E-02   14.9473       1.41930       1.84652       1.34720       1.80929      0.721012E-01  0.372294E-01   3.15649      0.859042      0.851878      0.747529      0.488156      0.209922       0.00000      0.747495    
  0.173775E-02   14.4339       1.38221       1.79346       1.30600       1.75403      0.762139E-01  0.394332E-01   3.06003      0.835181      0.827525      0.724649      0.470820      0.201879       0.00000      0.724626    
  0.190540E-02   13.9330       1.34634       1.74173       1.26577       1.69996      0.805650E-01  0.417720E-01   2.96573      0.811838      0.803657      0.702260      0.453932      0.194056       0.00000      0.702248    
  0.208923E-02   13.4397       1.31118       1.69080       1.22612       1.64661      0.850622E-01  0.441935E-01   2.87273      0.788807      0.780080      0.680165      0.437314      0.186365       0.00000      0.680165    
  0.229079E-02   12.9634       1.27768       1.64168       1.18777       1.59486      0.899167E-01  0.468186E-01   2.78263      0.766471      0.757149      0.658727      0.421297      0.178971       0.00000      0.658739    
  0.251180E-02   12.4955       1.24501       1.59344       1.15005       1.54389      0.949657E-01  0.495551E-01   2.69393      0.744475      0.734530      0.637608      0.405571      0.171722       0.00000      0.637633    
  0.275413E-02   12.0371       1.21326       1.54619       1.11303       1.49378      0.100232      0.524161E-01   2.60681      0.722857      0.712259      0.616846      0.390171      0.164635       0.00000      0.616884    
  0.301984E-02   11.5937       1.18301       1.50055       1.07713       1.44505      0.105883      0.554992E-01   2.52218      0.701842      0.690538      0.596649      0.375288      0.157809       0.00000      0.596700    
  0.331118E-02   11.1572       1.15345       1.45562       1.04173       1.39693      0.111719      0.586896E-01   2.43866      0.681097      0.669061      0.576705      0.360637      0.151099       0.00000      0.576769    
  0.363064E-02   10.7328       1.12511       1.41197       1.00722       1.34989      0.117892      0.620762E-01   2.35712      0.660828      0.648013      0.557206      0.346394      0.144597       0.00000      0.557284    
  0.398091E-02   10.3195       1.09791       1.36949      0.973509       1.30383      0.124404      0.656610E-01   2.27734      0.640989      0.627349      0.538109      0.332520      0.138283       0.00000      0.538200    
  0.436498E-02   9.91274       1.07138       1.32771      0.940265       1.25834      0.131119      0.693644E-01   2.19861      0.621401      0.606909      0.519248      0.318863      0.132081       0.00000      0.519352    
  0.478610E-02   9.52041       1.04636       1.28745      0.908046       1.21410      0.138313      0.733508E-01   2.12215      0.602366      0.586957      0.500900      0.305681      0.126124       0.00000      0.501019    
  0.524785E-02   9.13552       1.02213       1.24799      0.876352       1.17049      0.145776      0.774970E-01   2.04684      0.583611      0.567249      0.482815      0.292742      0.120295       0.00000      0.482947    
