   1000.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   60.8833       5.03986       7.02364       5.02408       7.01609      0.157859E-01  0.755592E-02   12.0402       2.80518       2.80403       2.65636       2.21890       1.55588       0.00000       2.65617    
  0.109648E-03   58.8915       4.88984       6.81347       4.87315       6.80548      0.166868E-01  0.799550E-02   11.6786       2.72548       2.72425       2.57829       2.14768       1.50313       0.00000       2.57810    
  0.120226E-03   56.9796       4.74573       6.61146       4.72806       6.60298      0.176703E-01  0.847695E-02   11.3310       2.64874       2.64742       2.50315       2.07932       1.45260       0.00000       2.50296    
  0.131825E-03   55.0999       4.60399       6.41272       4.58530       6.40375      0.186912E-01  0.897740E-02   10.9890       2.57320       2.57178       2.42919       2.01210       1.40296       0.00000       2.42900    
  0.144543E-03   53.2662       4.46567       6.21868       4.44590       6.20917      0.197655E-01  0.950508E-02   10.6551       2.49936       2.49784       2.35692       1.94654       1.35460       0.00000       2.35673    
  0.158489E-03   51.4941       4.33191       6.03092       4.31099       6.02085      0.209204E-01  0.100740E-01   10.3318       2.42781       2.42618       2.28691       1.88318       1.30794       0.00000       2.28672    
  0.173779E-03   49.7520       4.20038       5.84622       4.17826       5.83556      0.221171E-01  0.106643E-01   10.0138       2.35738       2.35563       2.21800       1.82089       1.26211       0.00000       2.21781    
  0.190545E-03   48.0673       4.07312       5.66737       4.04972       5.65607      0.233981E-01  0.112979E-01   9.70579       2.28907       2.28720       2.15119       1.76065       1.21786       0.00000       2.15101    
  0.208928E-03   46.4266       3.94913       5.49301       3.92438       5.48104      0.247518E-01  0.119691E-01   9.40542       2.22240       2.22040       2.08600       1.70198       1.17482       0.00000       2.08582    
  0.229085E-03   44.8146       3.82728       5.32156       3.80113       5.30890      0.261530E-01  0.126649E-01   9.11002       2.15680       2.15466       2.02186       1.64433       1.13256       0.00000       2.02168    
  0.251186E-03   43.2696       3.71043       5.15696       3.68275       5.14353      0.276786E-01  0.134253E-01   8.82628       2.09368       2.09139       1.96018       1.58907       1.09215       0.00000       1.96000    
  0.275420E-03   41.7530       3.59571       4.99524       3.56644       4.98102      0.292633E-01  0.142167E-01   8.54747       2.03162       2.02916       1.89954       1.53482       1.05250       0.00000       1.89936    
