   30000.0000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   96.9499       7.78068       11.1668       7.76085       11.1571      0.198302E-01  0.971181E-02   18.9179       4.16451       4.16306       4.01795       3.59634       2.97623       0.00000       4.01777    
  0.109648E-03   93.1796       7.51410       10.7804       7.49318       10.7701      0.209267E-01  0.102590E-01   18.2633       4.02643       4.02488       3.88152       3.46675       2.86393       0.00000       3.88134    
  0.120226E-03   89.5989       7.25979       10.4117       7.23767       10.4009      0.221195E-01  0.108559E-01   17.6386       3.89447       3.89282       3.75119       3.34319       2.75706       0.00000       3.75101    
  0.131825E-03   86.0934       7.01036       10.0501       6.98701       10.0387      0.233557E-01  0.114753E-01   17.0257       3.76497       3.76320       3.62329       3.22203       2.65235       0.00000       3.62311    
  0.144543E-03   82.6957       6.76794       9.69864       6.74329       9.68651      0.246539E-01  0.121268E-01   16.4298       3.63897       3.63708       3.49888       3.10431       2.55073       0.00000       3.49870    
  0.158489E-03   79.4409       6.53484       9.36057       6.50880       9.34775      0.260450E-01  0.128267E-01   15.8565       3.51764       3.51561       3.37910       2.99116       2.45321       0.00000       3.37892    
  0.173779E-03   76.2551       6.30626       9.02901       6.27878       9.01546      0.274842E-01  0.135518E-01   15.2942       3.39856       3.39639       3.26156       2.88022       2.35768       0.00000       3.26139    
  0.190545E-03   73.2007       6.08631       8.70986       6.05729       8.69553      0.290202E-01  0.143274E-01   14.7528       3.28378       3.28147       3.14831       2.77350       2.26593       0.00000       3.14813    
  0.208928E-03   70.2460       5.87292       8.40015       5.84228       8.38500      0.306392E-01  0.151466E-01   14.2273       3.17229       3.16982       3.03831       2.66999       2.17705       0.00000       3.03813    
  0.229085E-03   67.3560       5.66380       8.09657       5.63149       8.08057      0.323123E-01  0.159943E-01   13.7121       3.06292       3.06029       2.93042       2.56857       2.09003       0.00000       2.93025    
  0.251186E-03   64.6161       5.46463       7.80726       5.43051       7.79034      0.341268E-01  0.169165E-01   13.2208       2.95852       2.95570       2.82746       2.47199       2.00735       0.00000       2.82729    
  0.275420E-03   61.9390       5.26964       7.52394       5.23364       7.50606      0.360079E-01  0.178741E-01   12.7397       2.85619       2.85319       2.72656       2.37745       1.92648       0.00000       2.72640    
  0.301992E-03   59.3462       5.08027       7.24867       5.04230       7.22979      0.379787E-01  0.188792E-01   12.2721       2.75666       2.75346       2.62844       2.28564       1.84805       0.00000       2.62828    
  0.331127E-03   56.8701       4.89872       6.98457       4.85863       6.96461      0.400894E-01  0.199588E-01   11.8232       2.66101       2.65759       2.53417       2.19762       1.77300       0.00000       2.53402    
  0.363073E-03   54.4493       4.72087       6.72577       4.67860       6.70469      0.422713E-01  0.210765E-01   11.3833       2.56720       2.56356       2.44173       2.11140       1.69955       0.00000       2.44158    
  0.398101E-03   52.1315       4.54998       6.47689       4.50538       6.45462      0.445927E-01  0.222689E-01   10.9600       2.47684       2.47296       2.35271       2.02854       1.62909       0.00000       2.35257    
  0.436509E-03   49.8954       4.38461       6.23588       4.33757       6.21235      0.470388E-01  0.235284E-01   10.5499       2.38922       2.38508       2.26640       1.94835       1.56100       0.00000       2.26627    
  0.478622E-03   47.7107       4.22274       5.99985       4.17317       5.97502      0.495645E-01  0.248307E-01   10.1482       2.30333       2.29892       2.18181       1.86985       1.49442       0.00000       2.18168    
  0.524798E-03   45.6439       4.06890       5.77523       4.01661       5.74899      0.522930E-01  0.262426E-01   9.76560       2.22140       2.21670       2.10115       1.79521       1.43126       0.00000       2.10103    
  0.575429E-03   43.6288       3.91861       5.55565       3.86349       5.52794      0.551216E-01  0.277090E-01   9.39142       2.14122       2.13622       2.02222       1.72226       1.36961       0.00000       2.02211    
