   7.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.97591       1.06121       1.56251       1.05207       1.55784      0.914355E-02  0.466563E-02   2.60991      0.863543      0.863177      0.694780      0.188524       0.00000       0.00000      0.694665    
  0.109648E-03   4.26814       1.05169       1.54348       1.04199       1.53852      0.969998E-02  0.495203E-02   2.58051      0.852624      0.852230      0.686410      0.189361       0.00000       0.00000      0.686294    
  0.120226E-03   4.52357       1.04145       1.52384       1.03113       1.51858      0.103119E-01  0.526755E-02   2.54971      0.841425      0.840998      0.677696      0.189709       0.00000       0.00000      0.677578    
  0.131825E-03   4.76492       1.03095       1.50401       1.02001       1.49841      0.109491E-01  0.559639E-02   2.51842      0.830130      0.829669      0.668862      0.189875       0.00000       0.00000      0.668743    
  0.144543E-03   4.98613       1.02010       1.48388       1.00848       1.47794      0.116226E-01  0.594429E-02   2.48642      0.818701      0.818203      0.659857      0.189781       0.00000       0.00000      0.659736    
  0.158489E-03   5.18166       1.00884       1.46344      0.996492       1.45712      0.123512E-01  0.632130E-02   2.45361      0.807124      0.806587      0.650654      0.189369       0.00000       0.00000      0.650533    
  0.173779E-03   5.36504      0.997400       1.44286      0.984292       1.43615      0.131086E-01  0.671352E-02   2.42044      0.795484      0.794905      0.641363      0.188808       0.00000       0.00000      0.641242    
  0.190545E-03   5.52570      0.985637       1.42205      0.971713       1.41491      0.139242E-01  0.713659E-02   2.38662      0.783737      0.783112      0.631920      0.187976       0.00000       0.00000      0.631797    
  0.208928E-03   5.66981      0.973676       1.40110      0.958886       1.39351      0.147907E-01  0.758665E-02   2.35240      0.771931      0.771257      0.622380      0.186954       0.00000       0.00000      0.622257    
  0.229085E-03   5.80322      0.961589       1.38007      0.945898       1.37202      0.156903E-01  0.805435E-02   2.31792      0.760088      0.759362      0.612779      0.185810       0.00000       0.00000      0.612656    
  0.251186E-03   5.91269      0.949270       1.35891      0.932592       1.35035      0.166779E-01  0.856890E-02   2.28294      0.748188      0.747404      0.603064      0.184404       0.00000       0.00000      0.602942    
  0.275420E-03   6.01258      0.936884       1.33773      0.919176       1.32862      0.177076E-01  0.910602E-02   2.24780      0.736278      0.735432      0.593315      0.182898       0.00000       0.00000      0.593192    
  0.301992E-03   6.09957      0.924405       1.31651      0.905611       1.30684      0.187941E-01  0.967348E-02   2.21245      0.724353      0.723442      0.583518      0.181259       0.00000       0.00000      0.583396    
  0.331127E-03   6.16948      0.911854       1.29530      0.891883       1.28501      0.199708E-01  0.102893E-01   2.17689      0.712433      0.711450      0.573679      0.179451       0.00000       0.00000      0.573558    
  0.363073E-03   6.23149      0.899283       1.27410      0.878089       1.26317      0.211937E-01  0.109301E-01   2.14126      0.700521      0.699463      0.563826      0.177568       0.00000       0.00000      0.563706    
  0.398101E-03   6.27905      0.886694       1.25295      0.864186       1.24133      0.225084E-01  0.116203E-01   2.10552      0.688635      0.687494      0.553955      0.175551       0.00000       0.00000      0.553837    
  0.436509E-03   6.31566      0.874131       1.23188      0.850225       1.21952      0.239064E-01  0.123555E-01   2.06975      0.676785      0.675556      0.544086      0.173440       0.00000       0.00000      0.543969    
  0.478622E-03   6.34540      0.861587       1.21086      0.836229       1.19774      0.253577E-01  0.131196E-01   2.03397      0.664959      0.663637      0.534218      0.171269       0.00000       0.00000      0.534104    
  0.524798E-03   6.36006      0.849136       1.19001      0.822188       1.17605      0.269474E-01  0.139588E-01   1.99823      0.653210      0.651784      0.524374      0.168978       0.00000       0.00000      0.524262    
  0.575429E-03   6.36840      0.836752       1.16925      0.808146       1.15441      0.286069E-01  0.148360E-01   1.96256      0.641505      0.639969      0.514550      0.166641       0.00000       0.00000      0.514441    
  0.630945E-03   6.36878      0.824454       1.14861      0.794099       1.13285      0.303545E-01  0.157612E-01   1.92695      0.629855      0.628203      0.504750      0.164245       0.00000       0.00000      0.504644    
  0.691816E-03   6.35819      0.812327       1.12819      0.780079       1.11142      0.322485E-01  0.167666E-01   1.89150      0.618303      0.616523      0.495003      0.161776       0.00000       0.00000      0.494901    
  0.758561E-03   6.34269      0.800294       1.10789      0.766078       1.09007      0.342164E-01  0.178125E-01   1.85615      0.606802      0.604887      0.485285      0.159276       0.00000       0.00000      0.485186    
  0.831745E-03   6.31835      0.788450       1.08781      0.752123       1.06887      0.363269E-01  0.189368E-01   1.82099      0.595399      0.593339      0.475624      0.156724       0.00000       0.00000      0.475531    
  0.911989E-03   6.28709      0.776800       1.06794      0.738227       1.04781      0.385728E-01  0.201358E-01   1.78604      0.584091      0.581874      0.466023      0.154136       0.00000       0.00000      0.465935    
  0.999975E-03   6.25162      0.765272       1.04822      0.724368       1.02684      0.409035E-01  0.213817E-01   1.75120      0.572842      0.570460      0.456460      0.151526       0.00000       0.00000      0.456376    
  0.109645E-02   6.20709      0.754066       1.02884      0.710617       1.00609      0.434493E-01  0.227468E-01   1.71671      0.561741      0.559176      0.446992      0.148875       0.00000       0.00000      0.446914    
  0.120223E-02   6.15863      0.743035       1.00964      0.696927      0.985462      0.461088E-01  0.241753E-01   1.68239      0.550716      0.547958      0.437576      0.146211       0.00000       0.00000      0.437504    
  0.131822E-02   6.10551      0.732213      0.990653      0.683309      0.964974      0.489031E-01  0.256789E-01   1.64828      0.539780      0.536819      0.428221      0.143529       0.00000       0.00000      0.428155    
  0.144540E-02   6.04577      0.721754      0.972031      0.669823      0.944717      0.519312E-01  0.273134E-01   1.61454      0.528995      0.525808      0.418968      0.140828       0.00000       0.00000      0.418909    
  0.158485E-02   5.98315      0.711476      0.953585      0.656401      0.924573      0.550751E-01  0.290129E-01   1.58097      0.518281      0.514859      0.409764      0.138121       0.00000       0.00000      0.409713    
  0.173775E-02   5.91547      0.701539      0.935469      0.643102      0.904634      0.584372E-01  0.308353E-01   1.54774      0.507699      0.504024      0.400654      0.135403       0.00000       0.00000      0.400610    
  0.190540E-02   5.84372      0.691936      0.917667      0.629922      0.884887      0.620143E-01  0.327793E-01   1.51481      0.497242      0.493293      0.391630      0.132680       0.00000       0.00000      0.391594    
  0.208923E-02   5.76957      0.682537      0.900055      0.616814      0.865257      0.657235E-01  0.347980E-01   1.48207      0.486860      0.482625      0.382658      0.129954       0.00000       0.00000      0.382631    
  0.229079E-02   5.69040      0.673639      0.882899      0.603879      0.845896      0.697592E-01  0.370025E-01   1.44978      0.476653      0.472103      0.373811      0.127226       0.00000       0.00000      0.373793    
  0.251180E-02   5.60899      0.665012      0.865984      0.591037      0.826674      0.739751E-01  0.393101E-01   1.41771      0.466537      0.461656      0.365028      0.124499       0.00000       0.00000      0.365019    
  0.275413E-02   5.52508      0.656688      0.849339      0.578296      0.807606      0.783919E-01  0.417326E-01   1.38590      0.456522      0.451290      0.356315      0.121774       0.00000       0.00000      0.356316    
  0.301984E-02   5.43754      0.648898      0.833155      0.565728      0.788792      0.831703E-01  0.443633E-01   1.35452      0.446676      0.441060      0.347722      0.119052       0.00000       0.00000      0.347732    
  0.331118E-02   5.34847      0.641365      0.817189      0.553240      0.770093      0.881245E-01  0.470957E-01   1.32333      0.436907      0.430890      0.339182      0.116333       0.00000       0.00000      0.339203    
  0.363064E-02   5.25679      0.634297      0.801614      0.540897      0.751600      0.934007E-01  0.500145E-01   1.29250      0.427277      0.420829      0.330740      0.113619       0.00000       0.00000      0.330771    
  0.398091E-02   5.16299      0.627694      0.786421      0.528689      0.733296      0.990052E-01  0.531248E-01   1.26199      0.417778      0.410867      0.322388      0.110911       0.00000       0.00000      0.322430    
  0.436498E-02   5.06796      0.621368      0.771454      0.516561      0.715104      0.104807      0.563502E-01   1.23167      0.408355      0.400962      0.314089      0.108206       0.00000       0.00000      0.314142    
  0.478610E-02   4.97047      0.615695      0.757011      0.504614      0.697157      0.111082      0.598536E-01   1.20177      0.399104      0.391185      0.305908      0.105509       0.00000       0.00000      0.305972    
  0.524785E-02   4.87186      0.610388      0.742852      0.492760      0.679335      0.117627      0.635171E-01   1.17210      0.389944      0.381472      0.297789      0.102817       0.00000       0.00000      0.297864    
  0.575415E-02   4.77207      0.605462      0.728993      0.481006      0.661645      0.124457      0.673485E-01   1.14265      0.380878      0.371825      0.289733      0.100128       0.00000       0.00000      0.289819    
  0.630929E-02   4.67053      0.601231      0.715664      0.469418      0.644169      0.131813      0.714940E-01   1.11359      0.371972      0.362287      0.281785      0.974460E-01   0.00000       0.00000      0.281882    
  0.691799E-02   4.56829      0.597322      0.702576      0.457903      0.626787      0.139418      0.757890E-01   1.08469      0.363137      0.352796      0.273883      0.947667E-01   0.00000       0.00000      0.273991    
  0.758542E-02   4.46488      0.593982      0.689915      0.446516      0.609565      0.147467      0.803502E-01   1.05608      0.354424      0.343384      0.266061      0.920919E-01   0.00000       0.00000      0.266181    
  0.831724E-02   4.36048      0.591224      0.677679      0.435247      0.592487      0.155977      0.851916E-01   1.02773      0.345826      0.334042      0.258314      0.894205E-01   0.00000       0.00000      0.258445    
  0.911966E-02   4.25550      0.588797      0.665682      0.424042      0.575487      0.164755      0.901950E-01  0.999528      0.337292      0.324738      0.250608      0.867498E-01   0.00000       0.00000      0.250749    
  0.999950E-02   4.14921      0.587074      0.654177      0.412948      0.558615      0.174126      0.955613E-01  0.971563      0.328876      0.315494      0.242970      0.840722E-01   0.00000       0.00000      0.243121    
  0.109642E-01   4.04264      0.585716      0.642938      0.401929      0.541833      0.183786      0.101106      0.943762      0.320528      0.306292      0.235379      0.814010E-01   0.00000       0.00000      0.235540    
  0.120220E-01   3.93543      0.585029      0.632180      0.391036      0.525193      0.193993      0.106987      0.916229      0.312299      0.297156      0.227866      0.787365E-01   0.00000       0.00000      0.228037    
  0.131819E-01   3.82762      0.584919      0.621823      0.380230      0.508651      0.204688      0.113171      0.888882      0.304158      0.288063      0.220409      0.760725E-01   0.00000       0.00000      0.220589    
  0.144536E-01   3.71924      0.585381      0.611859      0.369507      0.492197      0.215874      0.119662      0.861704      0.296099      0.279006      0.213003      0.734084E-01   0.00000       0.00000      0.213191    
  0.158481E-01   3.61038      0.586374      0.602258      0.358854      0.475817      0.227521      0.126441      0.834671      0.288110      0.269979      0.205641      0.707442E-01   0.00000       0.00000      0.205838    
  0.173770E-01   3.50103      0.587894      0.593013      0.348265      0.459503      0.239629      0.133510      0.807768      0.280185      0.260978      0.198322      0.680798E-01   0.00000       0.00000      0.198526    
  0.190535E-01   3.39118      0.589984      0.584151      0.337740      0.443254      0.252244      0.140897      0.780994      0.272324      0.251998      0.191046      0.654155E-01   0.00000       0.00000      0.191256    
