   30000.0000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   97.3140       7.81755       11.2191       7.79873       11.2104      0.188259E-01  0.875706E-02   19.0091       4.18362       4.18197       4.03720       3.61510       2.99139       0.00000       4.03701    
  0.109648E-03   93.5267       7.54953       10.8307       7.52964       10.8214      0.198822E-01  0.926287E-02   18.3511       4.04488       4.04311       3.90006       3.48477       2.87845       0.00000       3.89987    
  0.120226E-03   89.9298       7.29383       10.4601       7.27279       10.4502      0.210329E-01  0.981619E-02   17.7230       3.91230       3.91041       3.76905       3.36050       2.77096       0.00000       3.76887    
  0.131825E-03   86.4087       7.04305       10.0965       7.02082       10.0861      0.222261E-01  0.103910E-01   17.1069       3.78218       3.78016       3.64050       3.23864       2.66565       0.00000       3.64031    
  0.144543E-03   82.9959       6.79931       9.74314       6.77583       9.73214      0.234802E-01  0.109967E-01   16.5080       3.65559       3.65343       3.51544       3.12024       2.56345       0.00000       3.51526    
  0.158489E-03   79.7265       6.56495       9.40326       6.54012       9.39161      0.248257E-01  0.116489E-01   15.9317       3.53368       3.53137       3.39505       3.00644       2.46538       0.00000       3.39486    
  0.173779E-03   76.5266       6.33513       9.06993       6.30892       9.05761      0.262186E-01  0.123253E-01   15.3665       3.41404       3.41158       3.27691       2.89487       2.36930       0.00000       3.27672    
  0.190545E-03   73.4588       6.11399       8.74907       6.08628       8.73602      0.277067E-01  0.130506E-01   14.8223       3.29873       3.29611       3.16307       2.78755       2.27703       0.00000       3.16289    
  0.208928E-03   70.4912       5.89945       8.43771       5.87018       8.42390      0.292768E-01  0.138181E-01   14.2941       3.18673       3.18392       3.05251       2.68345       2.18765       0.00000       3.05233    
  0.229085E-03   67.5886       5.68920       8.13251       5.65830       8.11790      0.309003E-01  0.146131E-01   13.7762       3.07685       3.07386       2.94407       2.58145       2.10014       0.00000       2.94389    
  0.251186E-03   64.8368       5.48896       7.84166       5.45630       7.82618      0.326634E-01  0.154807E-01   13.2825       2.97197       2.96877       2.84058       2.48433       2.01700       0.00000       2.84041    
  0.275420E-03   62.1482       5.29292       7.55682       5.25843       7.54044      0.344926E-01  0.163827E-01   12.7989       2.86917       2.86576       2.73917       2.38926       1.93567       0.00000       2.73900    
  0.301992E-03   59.5443       5.10253       7.28008       5.06612       7.26275      0.364105E-01  0.173312E-01   12.3289       2.76919       2.76556       2.64055       2.29693       1.85681       0.00000       2.64039    
  0.331127E-03   57.0576       4.92001       7.01457       4.88154       6.99622      0.384673E-01  0.183527E-01   11.8778       2.67311       2.66924       2.54580       2.20842       1.78134       0.00000       2.54565    
  0.363073E-03   54.6265       4.74121       6.75440       4.70061       6.73498      0.405947E-01  0.194115E-01   11.4356       2.57889       2.57476       2.45290       2.12172       1.70748       0.00000       2.45274    
  0.398101E-03   52.2989       4.56940       6.50418       4.52654       6.48364      0.428608E-01  0.205438E-01   11.0102       2.48813       2.48372       2.36343       2.03841       1.63664       0.00000       2.36328    
  0.436509E-03   50.0534       4.40315       6.26189       4.35790       6.24014      0.452510E-01  0.217424E-01   10.5980       2.40012       2.39543       2.27668       1.95778       1.56817       0.00000       2.27654    
  0.478622E-03   47.8597       4.24041       6.02459       4.19269       6.00161      0.477205E-01  0.229832E-01   10.1943       2.31385       2.30886       2.19166       1.87884       1.50122       0.00000       2.19153    
  0.524798E-03   45.7843       4.08575       5.79877       4.03536       5.77444      0.503922E-01  0.243328E-01   9.80980       2.23157       2.22625       2.11060       1.80379       1.43772       0.00000       2.11047    
  0.575429E-03   43.7609       3.93466       5.57800       3.88150       5.55227      0.531639E-01  0.257365E-01   9.43376       2.15104       2.14538       2.03127       1.73045       1.37573       0.00000       2.03115    
  0.630945E-03   41.8031       3.78807       5.36362       3.73201       5.33641      0.560621E-01  0.272087E-01   9.06843       2.07274       2.06672       1.95414       1.65927       1.31566       0.00000       1.95403    
  0.691816E-03   39.9401       3.64804       5.15850       3.58887       5.12971      0.591661E-01  0.287931E-01   8.71858       1.99765       1.99124       1.88020       1.59122       1.25837       0.00000       1.88010    
  0.758561E-03   38.1209       3.51105       4.95768       3.44868       4.92725      0.623727E-01  0.304339E-01   8.37593       1.92406       1.91725       1.80774       1.52462       1.20235       0.00000       1.80765    
  0.831745E-03   36.3822       3.37966       4.76475       3.31389       4.73256      0.657758E-01  0.321826E-01   8.04645       1.85321       1.84596       1.73798       1.46068       1.14870       0.00000       1.73790    
  0.911989E-03   34.7098       3.25293       4.57835       3.18357       4.54432      0.693615E-01  0.340325E-01   7.72789       1.78462       1.77692       1.67047       1.39895       1.09699       0.00000       1.67040    
  0.999975E-03   33.0782       3.12906       4.39598       3.05600       4.36004      0.730611E-01  0.359456E-01   7.41604       1.71743       1.70927       1.60434       1.33857       1.04648       0.00000       1.60429    
  0.109645E-02   31.5384       3.01168       4.22270       2.93464       4.18468      0.770442E-01  0.380170E-01   7.11931       1.65340       1.64472       1.54133       1.28124      0.998678       0.00000       1.54128    
  0.120223E-02   30.0409       2.89731       4.05361       2.81614       4.01344      0.811736E-01  0.401709E-01   6.82958       1.59082       1.58161       1.47975       1.22532      0.952118       0.00000       1.47972    
  0.131822E-02   28.5934       2.78651       3.88952       2.70104       3.84710      0.854767E-01  0.424224E-01   6.54813       1.52997       1.52020       1.41988       1.17107      0.907036       0.00000       1.41986    
  0.144540E-02   27.2217       2.68115       3.73298       2.59108       3.68814      0.900730E-01  0.448405E-01   6.27922       1.47173       1.46137       1.36259       1.11935      0.864190       0.00000       1.36258    
  0.158485E-02   25.8842       2.57827       3.57988       2.48346       3.53254      0.948122E-01  0.473401E-01   6.01600       1.41468       1.40370       1.30647       1.06878      0.822360       0.00000       1.30648    
  0.173775E-02   24.6083       2.47986       3.43297       2.38004       3.38297      0.998180E-01  0.499925E-01   5.76302       1.35977       1.34814       1.25246       1.02027      0.782353       0.00000       1.25248    
  0.190540E-02   23.3853       2.38533       3.29140       2.28025       3.23861      0.105079      0.527924E-01   5.51885       1.30670       1.29438       1.20027      0.973546      0.743921       0.00000       1.20031    
  0.208923E-02   22.1941       2.29312       3.15304       2.18263       3.09736      0.110497      0.556826E-01   5.27998       1.25474       1.24171       1.14917      0.927886      0.706431       0.00000       1.14922    
  0.229079E-02   21.0731       2.20611       3.02181       2.08982       2.96302      0.116291      0.587921E-01   5.05284       1.20523       1.19144       1.10048      0.884591      0.671033       0.00000       1.10055    
  0.251180E-02   19.9860       2.12163       2.89404       1.99935       2.83202      0.122286      0.620201E-01   4.83137       1.15691       1.14233       1.05296      0.842441      0.636648       0.00000       1.05305    
  0.275413E-02   18.9366       2.03998       2.77014       1.91147       2.70476      0.128505      0.653799E-01   4.61623       1.10991       1.09451       1.00675      0.801566      0.603391       0.00000       1.00685    
  0.301984E-02   17.9467       1.96282       2.65235       1.82771       2.58338      0.135115      0.689715E-01   4.41109       1.06500       1.04874      0.962604      0.762710      0.571919       0.00000      0.962718    
  0.331118E-02   16.9832       1.88769       2.53729       1.74578       2.46462      0.141910      0.726735E-01   4.21039       1.02102       1.00387      0.919372      0.724752      0.541241       0.00000      0.919502    
  0.363064E-02   16.0661       1.81610       2.42705       1.66706       2.35047      0.149039      0.765761E-01   4.01753      0.978687      0.960607      0.877756      0.688376      0.511962       0.00000      0.877903    
  0.398091E-02   15.1907       1.74774       2.32115       1.59125       2.24047      0.156497      0.806773E-01   3.83172      0.937824      0.918774      0.837595      0.653423      0.483942       0.00000      0.837757    
  0.436498E-02   14.3395       1.68128       2.21780       1.51713       2.13290      0.164150      0.848967E-01   3.65003      0.897824      0.877781      0.798285      0.619303      0.456658       0.00000      0.798463    
  0.478610E-02   13.5412       1.61896       2.12002       1.44671       2.03063      0.172256      0.893930E-01   3.47733      0.859704      0.838616      0.760833      0.587002      0.430983       0.00000      0.761026    
  0.524785E-02   12.7696       1.55877       2.02508       1.37816       1.93104      0.180608      0.940414E-01   3.30920      0.822536      0.800379      0.724325      0.555625      0.406124       0.00000      0.724533    
  0.575415E-02   12.0260       1.50080       1.93311       1.31158       1.83427      0.189220      0.988496E-01   3.14585      0.786368      0.763115      0.688808      0.525217      0.382120       0.00000      0.689030    
  0.630929E-02   11.3285       1.44656       1.84611       1.24827       1.74217      0.198287      0.103942       2.99044      0.751852      0.727461      0.654933      0.496419      0.359536       0.00000      0.655169    
  0.691799E-02   10.6509       1.39394       1.76127       1.18638       1.65211      0.207560      0.109163       2.83849      0.718056      0.692510      0.621777      0.468324      0.337572       0.00000      0.622027    
  0.758542E-02   10.0079       1.34414       1.68019       1.12695       1.56558      0.217195      0.114612       2.69253      0.685503      0.658774      0.589863      0.441445      0.316678       0.00000      0.590125    
  0.831724E-02   9.39699       1.29701       1.60265       1.06983       1.48237      0.227181      0.120283       2.55220      0.654117      0.626184      0.559122      0.415715      0.296791       0.00000      0.559397    
  0.911966E-02   8.80236       1.25125       1.52693       1.01389       1.40085      0.237362      0.126079       2.41474      0.623322      0.594174      0.528977      0.390568      0.277415       0.00000      0.529264    
  0.999950E-02   8.22803       1.20741       1.45364      0.959479       1.32151      0.247930      0.132123       2.28099      0.593296      0.562911      0.499610      0.366183      0.258696       0.00000      0.499907    
  0.109642E-01   7.68068       1.16571       1.38327      0.906994       1.24497      0.258711      0.138304       2.15196      0.564235      0.532613      0.471226      0.342759      0.240822       0.00000      0.471533    
  0.120220E-01   7.17402       1.12731       1.31740      0.857448       1.17268      0.269860      0.144721       2.03013      0.536642      0.503787      0.444348      0.320806      0.224231       0.00000      0.444663    
  0.131819E-01   6.69288       1.09109       1.25447      0.809798       1.10315      0.281291      0.151320       1.91295      0.509991      0.475915      0.418450      0.299807      0.208463       0.00000      0.418771    
  0.144536E-01   6.23607       1.05695       1.19436      0.763969       1.03628      0.292981      0.158085       1.80024      0.484240      0.448966      0.393498      0.279728      0.193485       0.00000      0.393825    
  0.158481E-01   5.80103       1.02467       1.13680      0.719784      0.971815      0.304888      0.164990       1.69160      0.459299      0.422856      0.369408      0.260485      0.179219       0.00000      0.369739    
  0.173770E-01   5.38706      0.994194       1.08174      0.677204      0.909721      0.316990      0.172016       1.58692      0.435143      0.397574      0.346165      0.242061      0.165647       0.00000      0.346500    
  0.190535E-01   4.99537      0.965610       1.02932      0.636338      0.850171      0.329272      0.179152       1.48651      0.411823      0.373185      0.323835      0.224516      0.152814       0.00000      0.324172    
  0.208917E-01   4.62466      0.938793      0.979427      0.597103      0.793061      0.341690      0.186366       1.39016      0.389291      0.349658      0.302384      0.207812      0.140682       0.00000      0.302721    
  0.229073E-01   4.27288      0.913550      0.931813      0.559352      0.738191      0.354198      0.193622       1.29754      0.367473      0.326927      0.281742      0.191878      0.129186       0.00000      0.282078    
  0.251174E-01   3.93941      0.889805      0.886415      0.523052      0.685529      0.366753      0.200886       1.20858      0.346349      0.304985      0.261900      0.176702      0.118311       0.00000      0.262233    
  0.275406E-01   3.62543      0.867617      0.843381      0.488311      0.635267      0.379306      0.208114       1.12358      0.325965      0.283909      0.242930      0.162346      0.108099       0.00000      0.243259    
  0.301976E-01   3.32961      0.846832      0.802544      0.455039      0.587289      0.391794      0.215255       1.04233      0.306273      0.263664      0.224794      0.148766      0.985086E-01   0.00000      0.225117    
  0.331110E-01   3.05025      0.827272      0.763690      0.423111      0.541428      0.404161      0.222262      0.964539      0.287210      0.244195      0.207432      0.135901      0.894849E-01   0.00000      0.207748    
  0.363055E-01   2.78684      0.808841      0.726737      0.392496      0.497659      0.416345      0.229078      0.890155      0.268758      0.225501      0.190838      0.123738      0.810117E-01   0.00000      0.191146    
  0.398081E-01   2.54048      0.791543      0.691787      0.363301      0.456178      0.428242      0.235608      0.819479      0.250962      0.207663      0.175087      0.112338      0.731292E-01   0.00000      0.175386    
  0.436487E-01   2.30979      0.775199      0.658634      0.335422      0.416851      0.439777      0.241783      0.752274      0.233772      0.190640      0.160133      0.101650      0.657907E-01   0.00000      0.160420    
  0.478598E-01   2.09338      0.759638      0.627072      0.308756      0.379530      0.450883      0.247542      0.688286      0.217138      0.174384      0.145922      0.916179E-01  0.589483E-01   0.00000      0.146198    
  0.524772E-01   1.89074      0.744743      0.596986      0.283271      0.344184      0.461472      0.252802      0.627455      0.201044      0.158891      0.132446      0.822264E-01  0.525849E-01   0.00000      0.132708    
  0.575400E-01   1.70286      0.730435      0.568399      0.259067      0.311004      0.471369      0.257395      0.570070      0.185538      0.144243      0.119778      0.735285E-01  0.467344E-01   0.00000      0.120026    
