   1000.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   61.0935       5.00653       6.97909       4.99067       6.97129      0.158580E-01  0.780194E-02   11.9620       2.79083       2.78969       2.63950       2.19984       1.54228       0.00000       2.63932    
  0.109648E-03   59.0976       4.85795       6.77084       4.84119       6.76258      0.167628E-01  0.825378E-02   11.6038       2.71179       2.71057       2.56212       2.12940       1.49007       0.00000       2.56195    
  0.120226E-03   57.1817       4.71522       6.57065       4.69746       6.56190      0.177507E-01  0.874832E-02   11.2594       2.63569       2.63437       2.48765       2.06178       1.44006       0.00000       2.48748    
  0.131825E-03   55.2980       4.57483       6.37371       4.55605       6.36444      0.187760E-01  0.926222E-02   10.9205       2.56076       2.55934       2.41435       1.99530       1.39093       0.00000       2.41417    
  0.144543E-03   53.4603       4.43781       6.18140       4.41795       6.17159      0.198550E-01  0.980385E-02   10.5895       2.48752       2.48600       2.34271       1.93044       1.34306       0.00000       2.34253    
  0.158489E-03   51.6842       4.30531       5.99530       4.28429       5.98491      0.210149E-01  0.103874E-01   10.2692       2.41654       2.41492       2.27331       1.86775       1.29687       0.00000       2.27313    
  0.173779E-03   49.9382       4.17500       5.81223       4.15279       5.80124      0.222166E-01  0.109928E-01   9.95402       2.34667       2.34492       2.20499       1.80612       1.25150       0.00000       2.20482    
  0.190545E-03   48.2496       4.04891       5.63494       4.02541       5.62330      0.235030E-01  0.116422E-01   9.64871       2.27890       2.27703       2.13876       1.74651       1.20769       0.00000       2.13858    
  0.208928E-03   46.6051       3.92606       5.46210       3.90120       5.44977      0.248624E-01  0.123298E-01   9.35097       2.21275       2.21075       2.07412       1.68845       1.16507       0.00000       2.07395    
  0.229085E-03   44.9892       3.80531       5.29213       3.77905       5.27908      0.262693E-01  0.130423E-01   9.05813       2.14765       2.14551       2.01052       1.63140       1.12323       0.00000       2.01035    
  0.251186E-03   43.4404       3.68952       5.12892       3.66171       5.11510      0.278012E-01  0.138204E-01   8.77681       2.08501       2.08272       1.94935       1.57670       1.08320       0.00000       1.94918    
  0.275420E-03   41.9200       3.57581       4.96857       3.54642       4.95394      0.293923E-01  0.146298E-01   8.50036       2.02342       2.02096       1.88921       1.52300       1.04394       0.00000       1.88904    
  0.301992E-03   40.4378       3.46493       4.81206       3.43387       4.79658      0.310630E-01  0.154813E-01   8.23045       1.96322       1.96060       1.83044       1.47064       1.00571       0.00000       1.83028    
  0.331127E-03   39.0090       3.35800       4.66093       3.32514       4.64454      0.328590E-01  0.163991E-01   7.96968       1.90499       1.90218       1.77361       1.42015      0.968907       0.00000       1.77345    
  0.363073E-03   37.6056       3.25296       4.51237       3.21824       4.49502      0.347188E-01  0.173509E-01   7.71326       1.84769       1.84468       1.71770       1.37055      0.932789       0.00000       1.71755    
  0.398101E-03   36.2501       3.15147       4.36861       3.11476       4.35024      0.367042E-01  0.183697E-01   7.46500       1.79214       1.78892       1.66351       1.32262      0.897950       0.00000       1.66336    
  0.436509E-03   34.9328       3.05282       4.22870       3.01402       4.20925      0.388025E-01  0.194488E-01   7.22327       1.73800       1.73456       1.61071       1.27602      0.864131       0.00000       1.61056    
  0.478622E-03   33.6396       2.95598       4.09123       2.91501       4.07066      0.409729E-01  0.205667E-01   6.98567       1.68474       1.68107       1.55878       1.23027      0.830958       0.00000       1.55864    
  0.524798E-03   32.4024       2.86332       3.95938       2.81999       3.93759      0.433281E-01  0.217840E-01   6.75759       1.63353       1.62960       1.50886       1.18646      0.799270       0.00000       1.50873    
  0.575429E-03   31.1900       2.77252       3.83003       2.72675       3.80698      0.457753E-01  0.230510E-01   6.53372       1.58323       1.57903       1.45983       1.14351      0.768241       0.00000       1.45971    
  0.630945E-03   30.0090       2.68407       3.70383       2.63574       3.67945      0.483386E-01  0.243809E-01   6.31519       1.53408       1.52960       1.41193       1.10165      0.738042       0.00000       1.41182    
  0.691816E-03   28.8738       2.59908       3.58225       2.54799       3.55644      0.510920E-01  0.258142E-01   6.10443       1.48661       1.48181       1.36568       1.06138      0.709054       0.00000       1.36557    
  0.758561E-03   27.7601       2.51570       3.46282       2.46176       3.43552      0.539405E-01  0.272993E-01   5.89729       1.43992       1.43480       1.32020       1.02185      0.680630       0.00000       1.32010    
  0.831745E-03   26.6857       2.43531       3.34736       2.37833       3.31847      0.569716E-01  0.288843E-01   5.69681       1.39466       1.38920       1.27612      0.983672      0.653243       0.00000       1.27603    
  0.911989E-03   25.6441       2.35741       3.23520       2.29724       3.20464      0.601732E-01  0.305631E-01   5.50187       1.35061       1.34478       1.23322      0.946628      0.626718       0.00000       1.23314    
  0.999975E-03   24.6229       2.28106       3.12509       2.21757       3.09278      0.634815E-01  0.323005E-01   5.31036       1.30729       1.30108       1.19105      0.910279      0.600725       0.00000       1.19098    
  0.109645E-02   23.6477       2.20822       3.01961       2.14117       2.98542      0.670563E-01  0.341854E-01   5.12659       1.26566       1.25903       1.15052      0.875510      0.575936       0.00000       1.15045    
  0.120223E-02   22.6940       2.13705       2.91629       2.06628       2.88014      0.707697E-01  0.361472E-01   4.94642       1.22480       1.21774       1.11075      0.841472      0.551708       0.00000       1.11069    
  0.131822E-02   21.7658       2.06783       2.81554       1.99318       2.77734      0.746474E-01  0.382006E-01   4.77052       1.18487       1.17735       1.07188      0.808305      0.528143       0.00000       1.07184    
  0.144540E-02   20.8765       2.00162       2.71871       1.92282       2.67830      0.788047E-01  0.404103E-01   4.60111       1.14636       1.13834       1.03440      0.776460      0.505590       0.00000       1.03437    
  0.158485E-02   20.0049       1.93680       2.62367       1.85370       2.58097      0.830991E-01  0.426970E-01   4.43468       1.10848       1.09995      0.997537      0.745218      0.483499       0.00000      0.997521    
  0.173775E-02   19.1655       1.87448       2.53187       1.78683       2.48674      0.876496E-01  0.451279E-01   4.27357       1.07177       1.06269      0.961810      0.715061      0.462238       0.00000      0.961807    
