   7.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.3661       1.16505       1.63121       1.15655       1.62677      0.849261E-02  0.444466E-02   2.78332      0.892151      0.891593      0.735268      0.264403       0.00000       0.00000      0.735174    
  0.109648E-03   10.2487       1.14498       1.60371       1.13595       1.59899      0.902100E-02  0.472086E-02   2.73494      0.877419      0.876816      0.722267      0.258536       0.00000       0.00000      0.722171    
  0.120226E-03   10.1307       1.12547       1.57681       1.11586       1.57179      0.960333E-02  0.502545E-02   2.68765      0.862996      0.862344      0.709541      0.252867       0.00000       0.00000      0.709444    
  0.131825E-03   10.0126       1.10619       1.55017       1.09598       1.54482      0.102103E-01  0.534304E-02   2.64080      0.848700      0.847995      0.696927      0.247279       0.00000       0.00000      0.696829    
  0.144543E-03   9.89418       1.08724       1.52388       1.07639       1.51820      0.108526E-01  0.567923E-02   2.59459      0.834583      0.833823      0.684475      0.241806       0.00000       0.00000      0.684376    
  0.158489E-03   9.77550       1.06875       1.49807       1.05720       1.49203      0.115487E-01  0.604384E-02   2.54923      0.820713      0.819890      0.672240      0.236488       0.00000       0.00000      0.672141    
  0.173779E-03   9.65669       1.05048       1.47251       1.03821       1.46609      0.122729E-01  0.642330E-02   2.50430      0.806963      0.806075      0.660113      0.231247       0.00000       0.00000      0.660013    
  0.190545E-03   9.53766       1.03265       1.44741       1.01960       1.44058      0.130542E-01  0.683291E-02   2.46017      0.793444      0.792485      0.648192      0.226152       0.00000       0.00000      0.648091    
  0.208928E-03   9.41850       1.01516       1.42267       1.00128       1.41540      0.138852E-01  0.726892E-02   2.41668      0.780107      0.779070      0.636430      0.221170       0.00000       0.00000      0.636329    
  0.229085E-03   9.29925      0.997896       1.39816      0.983147       1.39044      0.147488E-01  0.772218E-02   2.37359      0.766886      0.765769      0.624772      0.216261       0.00000       0.00000      0.624671    
  0.251186E-03   9.17987      0.981167       1.37422      0.965468       1.36600      0.156988E-01  0.822128E-02   2.33146      0.753944      0.752736      0.613361      0.211524       0.00000       0.00000      0.613259    
  0.275420E-03   9.06045      0.964672       1.35051      0.947982       1.34177      0.166904E-01  0.874249E-02   2.28975      0.741122      0.739818      0.602054      0.206860       0.00000       0.00000      0.601953    
  0.301992E-03   8.94098      0.948492       1.32713      0.930755       1.31784      0.177378E-01  0.929342E-02   2.24860      0.728460      0.727054      0.590888      0.202295       0.00000       0.00000      0.590788    
  0.331127E-03   8.82151      0.932766       1.30422      0.913892       1.29433      0.188742E-01  0.989180E-02   2.20822      0.716026      0.714506      0.579922      0.197866       0.00000       0.00000      0.579822    
  0.363073E-03   8.70205      0.917260       1.28153      0.897204       1.27101      0.200564E-01  0.105146E-01   2.16822      0.703700      0.702062      0.569052      0.193503       0.00000       0.00000      0.568952    
  0.398101E-03   8.58263      0.902173       1.25926      0.880844       1.24808      0.213292E-01  0.111858E-01   2.12892      0.691581      0.689813      0.558361      0.189263       0.00000       0.00000      0.558263    
  0.436509E-03   8.46328      0.887433       1.23734      0.864748       1.22544      0.226847E-01  0.119013E-01   2.09019      0.679628      0.677720      0.547814      0.185120       0.00000       0.00000      0.547718    
  0.478622E-03   8.34398      0.872912       1.21564      0.848819       1.20299      0.240931E-01  0.126451E-01   2.05181      0.667781      0.665726      0.537360      0.181038       0.00000       0.00000      0.537265    
  0.524798E-03   8.22483      0.858916       1.19445      0.833277       1.18098      0.256389E-01  0.134627E-01   2.01426      0.656180      0.653960      0.527117      0.177098       0.00000       0.00000      0.527024    
  0.575429E-03   8.10578      0.845162       1.17349      0.817908       1.15917      0.272543E-01  0.143176E-01   1.97708      0.644689      0.642295      0.516969      0.173219       0.00000       0.00000      0.516878    
  0.630945E-03   7.98686      0.831713       1.15283      0.802756       1.13761      0.289573E-01  0.152198E-01   1.94037      0.633337      0.630758      0.506940      0.169418       0.00000       0.00000      0.506852    
  0.691816E-03   7.86816      0.818727       1.13261      0.787921       1.11641      0.308064E-01  0.162008E-01   1.90433      0.622191      0.619407      0.497085      0.165730       0.00000       0.00000      0.497000    
  0.758561E-03   7.74957      0.805963       1.11259      0.773234       1.09537      0.327293E-01  0.172216E-01   1.86861      0.611140      0.608142      0.487311      0.162094       0.00000       0.00000      0.487230    
  0.831745E-03   7.63121      0.793613       1.09296      0.758818       1.07464      0.347949E-01  0.183197E-01   1.83346      0.600267      0.597035      0.477687      0.158551       0.00000       0.00000      0.477609    
  0.911989E-03   7.51306      0.781624       1.07366      0.744628       1.05417      0.369962E-01  0.194914E-01   1.79880      0.589542      0.586058      0.468186      0.155086       0.00000       0.00000      0.468112    
  0.999975E-03   7.39506      0.769859       1.05456      0.730577       1.03385      0.392825E-01  0.207092E-01   1.76443      0.578910      0.575161      0.458761      0.151667       0.00000       0.00000      0.458691    
  0.109645E-02   7.27739      0.758623       1.03593      0.716838       1.01389      0.417848E-01  0.220446E-01   1.73072      0.568486      0.564443      0.449508      0.148352       0.00000       0.00000      0.449443    
  0.120223E-02   7.15990      0.747644       1.01752      0.703243      0.994080      0.444016E-01  0.234426E-01   1.69732      0.558160      0.553807      0.440334      0.145083       0.00000       0.00000      0.440273    
  0.131822E-02   7.04261      0.736972      0.999378      0.689818      0.974464      0.471542E-01  0.249147E-01   1.66428      0.547949      0.543266      0.431253      0.141869       0.00000       0.00000      0.431198    
  0.144540E-02   6.92564      0.726792      0.981646      0.676650      0.955130      0.501426E-01  0.265160E-01   1.63178      0.537914      0.532868      0.422312      0.138735       0.00000       0.00000      0.422262    
  0.158485E-02   6.80882      0.716844      0.964105      0.663596      0.935923      0.532481E-01  0.281816E-01   1.59952      0.527960      0.522533      0.413433      0.135636       0.00000       0.00000      0.413390    
  0.173775E-02   6.69228      0.707323      0.946910      0.650749      0.916941      0.565743E-01  0.299686E-01   1.56769      0.518150      0.512311      0.404667      0.132599       0.00000       0.00000      0.404630    
  0.190540E-02   6.57597      0.698195      0.930022      0.638077      0.898146      0.601184E-01  0.318760E-01   1.53622      0.508465      0.502181      0.395995      0.129611       0.00000       0.00000      0.395965    
  0.208923E-02   6.45979      0.689305      0.913321      0.625508      0.879463      0.637965E-01  0.338573E-01   1.50497      0.498855      0.492107      0.387380      0.126653       0.00000       0.00000      0.387357    
  0.229079E-02   6.34390      0.680972      0.897041      0.613166      0.861018      0.678062E-01  0.360226E-01   1.47418      0.489410      0.482148      0.378886      0.123756       0.00000       0.00000      0.378870    
  0.251180E-02   6.22813      0.672929      0.880971      0.600930      0.842681      0.719995E-01  0.382901E-01   1.44361      0.480044      0.472241      0.370449      0.120886       0.00000       0.00000      0.370440    
  0.275413E-02   6.11250      0.665209      0.865136      0.588812      0.824465      0.763973E-01  0.406715E-01   1.41328      0.470766      0.462391      0.362074      0.118045       0.00000       0.00000      0.362073    
  0.301984E-02   5.99702      0.658037      0.849684      0.576873      0.806425      0.811644E-01  0.432595E-01   1.38330      0.461627      0.452624      0.353792      0.115246       0.00000       0.00000      0.353800    
  0.331118E-02   5.88158      0.651121      0.834406      0.565010      0.788457      0.861112E-01  0.459484E-01   1.35347      0.452547      0.442890      0.345551      0.112463       0.00000       0.00000      0.345567    
  0.363064E-02   5.76620      0.644668      0.819437      0.553281      0.770614      0.913874E-01  0.488227E-01   1.32389      0.443573      0.433212      0.337377      0.109707       0.00000       0.00000      0.337402    
  0.398091E-02   5.65080      0.638664      0.804755      0.541663      0.752868      0.970003E-01  0.518874E-01   1.29453      0.434692      0.423575      0.329259      0.106971       0.00000       0.00000      0.329293    
  0.436498E-02   5.53537      0.632925      0.790243      0.530110      0.735176      0.102815      0.550666E-01   1.26529      0.425863      0.413960      0.321173      0.104247       0.00000       0.00000      0.321216    
  0.478610E-02   5.41977      0.627806      0.776109      0.518688      0.717587      0.109117      0.585228E-01   1.23627      0.417148      0.404385      0.313150      0.101540       0.00000       0.00000      0.313202    
  0.524785E-02   5.30400      0.623025      0.762176      0.507327      0.700037      0.115698      0.621386E-01   1.20736      0.408486      0.394822      0.305154      0.988402E-01   0.00000       0.00000      0.305215    
  0.575415E-02   5.18806      0.618599      0.748451      0.496028      0.682529      0.122571      0.659219E-01   1.17856      0.399882      0.385272      0.297187      0.961464E-01   0.00000       0.00000      0.297257    
  0.630929E-02   5.07163      0.614810      0.735085      0.484821      0.665066      0.129989      0.700191E-01   1.14989      0.391364      0.375729      0.289258      0.934571E-01   0.00000       0.00000      0.289338    
  0.691799E-02   4.95493      0.611315      0.721881      0.473650      0.647616      0.137665      0.742658E-01   1.12127      0.382882      0.366184      0.281343      0.907679E-01   0.00000       0.00000      0.281432    
  0.758542E-02   4.83770      0.608337      0.708959      0.462538      0.630180      0.145799      0.787789E-01   1.09272      0.374460      0.356632      0.273450      0.880778E-01   0.00000       0.00000      0.273548    
  0.831724E-02   4.71979      0.605884      0.696314      0.451471      0.612741      0.154413      0.835731E-01   1.06421      0.366088      0.347063      0.265571      0.853831E-01   0.00000       0.00000      0.265679    
  0.911966E-02   4.60144      0.603730      0.683824      0.440425      0.595294      0.163305      0.885301E-01   1.03572      0.357741      0.337480      0.257698      0.826845E-01   0.00000       0.00000      0.257814    
  0.999950E-02   4.48181      0.602214      0.671643      0.429397      0.577790      0.172817      0.938530E-01   1.00719      0.349428      0.327848      0.249818      0.799690E-01   0.00000       0.00000      0.249942    
  0.109642E-01   4.36176      0.601024      0.659640      0.418395      0.560285      0.182630      0.993546E-01  0.978680      0.341142      0.318204      0.241948      0.772530E-01   0.00000       0.00000      0.242081    
  0.120220E-01   4.24075      0.600436      0.647953      0.407425      0.542758      0.193010      0.105195      0.950183      0.332894      0.308529      0.234088      0.745315E-01   0.00000       0.00000      0.234229    
  0.131819E-01   4.11865      0.600368      0.636529      0.396465      0.525188      0.203902      0.111342      0.921653      0.324664      0.298813      0.226226      0.718012E-01   0.00000       0.00000      0.226374    
  0.144536E-01   3.99540      0.600817      0.625370      0.385508      0.507571      0.215308      0.117798      0.893080      0.316446      0.289055      0.218361      0.690628E-01   0.00000       0.00000      0.218516    
  0.158481E-01   3.87101      0.601746      0.614458      0.374550      0.489910      0.227197      0.124548      0.864460      0.308232      0.279256      0.210492      0.663179E-01   0.00000       0.00000      0.210654    
  0.173770E-01   3.74544      0.603155      0.603797      0.363585      0.472205      0.239570      0.131592      0.835790      0.300017      0.269416      0.202621      0.635681E-01   0.00000       0.00000      0.202789    
  0.190535E-01   3.61852      0.605085      0.593416      0.352609      0.454455      0.252477      0.138962      0.807063      0.291793      0.259532      0.194749      0.608153E-01   0.00000       0.00000      0.194922    
  0.208917E-01   3.49029      0.607517      0.583314      0.341617      0.436666      0.265900      0.146647      0.778284      0.283554      0.249609      0.186880      0.580628E-01   0.00000       0.00000      0.187057    
  0.229073E-01   3.36085      0.610407      0.573475      0.330609      0.418852      0.279799      0.154623      0.749461      0.275294      0.239655      0.179016      0.553143E-01   0.00000       0.00000      0.179197    
  0.251174E-01   3.23025      0.613743      0.563904      0.319580      0.401022      0.294163      0.162882      0.720602      0.267007      0.229674      0.171164      0.525738E-01   0.00000       0.00000      0.171349    
  0.275406E-01   3.09847      0.617551      0.554633      0.308527      0.383193      0.309024      0.171440      0.691720      0.258680      0.219673      0.163333      0.498475E-01   0.00000       0.00000      0.163519    
  0.301976E-01   2.96570      0.621790      0.545652      0.297449      0.365384      0.324342      0.180267      0.662833      0.250307      0.209666      0.155531      0.471411E-01   0.00000       0.00000      0.155718    
  0.331110E-01   2.83219      0.626407      0.536944      0.286343      0.347619      0.340063      0.189325      0.633962      0.241884      0.199665      0.147766      0.444597E-01   0.00000       0.00000      0.147954    
  0.363055E-01   2.69815      0.631371      0.528507      0.275210      0.329919      0.356160      0.198587      0.605130      0.233401      0.189683      0.140049      0.418094E-01   0.00000       0.00000      0.140236    
  0.398081E-01   2.56385      0.636677      0.520361      0.264045      0.312327      0.372632      0.208034      0.576372      0.224843      0.179742      0.132400      0.392018E-01   0.00000       0.00000      0.132585    
  0.436487E-01   2.42969      0.642261      0.512479      0.252846      0.294872      0.389414      0.217608      0.547718      0.216203      0.169860      0.124829      0.366431E-01   0.00000       0.00000      0.125012    
  0.478598E-01   2.29606      0.648058      0.504827      0.241615      0.277581      0.406443      0.227247      0.519196      0.207477      0.160053      0.117348      0.341381E-01   0.00000       0.00000      0.117528    
  0.524772E-01   2.16337      0.654016      0.497379      0.230349      0.260487      0.423667      0.236891      0.490836      0.198655      0.150341      0.109971      0.316939E-01   0.00000       0.00000      0.110146    
  0.575400E-01   2.03230      0.660081      0.490111      0.219042      0.243657      0.441039      0.246454      0.462699      0.189716      0.140760      0.102727      0.293258E-01   0.00000       0.00000      0.102897    
  0.630913E-01   1.90330      0.666171      0.482955      0.207694      0.227116      0.458477      0.255839      0.434810      0.180657      0.131327      0.956255E-01  0.270369E-01   0.00000       0.00000      0.957888E-01
  0.691782E-01   1.77680      0.672211      0.475839      0.196305      0.210885      0.475906      0.264954      0.407191      0.171476      0.122056      0.886734E-01  0.248291E-01   0.00000       0.00000      0.888298E-01
