   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   36.5779       3.15852       4.17642       3.14541       4.16944      0.131137E-01  0.697726E-02   7.31485       1.87218       1.87125       1.72092       1.27322      0.577433       0.00000       1.72076    
  0.109648E-03   35.6203       3.07831       4.07184       3.06444       4.06446      0.138789E-01  0.738248E-02   7.12890       1.82742       1.82642       1.67779       1.23702      0.560409       0.00000       1.67763    
  0.120226E-03   34.6904       3.00081       3.97060       2.98609       3.96278      0.147164E-01  0.782619E-02   6.94887       1.78402       1.78295       1.63600       1.20207      0.543990       0.00000       1.63584    
  0.131825E-03   33.7717       2.92440       3.87071       2.90881       3.86242      0.155867E-01  0.828739E-02   6.77124       1.74118       1.74002       1.59475       1.16763      0.527814       0.00000       1.59459    
  0.144543E-03   32.8692       2.84956       3.77275       2.83305       3.76398      0.165039E-01  0.877360E-02   6.59703       1.69913       1.69789       1.55427       1.13393      0.511988       0.00000       1.55411    
  0.158489E-03   31.9885       2.77683       3.67741       2.75934       3.66811      0.174922E-01  0.929770E-02   6.42745       1.65814       1.65681       1.51483       1.10120      0.496630       0.00000       1.51467    
  0.173779E-03   31.1186       2.70515       3.58334       2.68663       3.57349      0.185173E-01  0.984151E-02   6.26013       1.61768       1.61625       1.47590       1.06895      0.481501       0.00000       1.47574    
  0.190545E-03   30.2693       2.63547       3.49171       2.61585       3.48129      0.196170E-01  0.104252E-01   6.09714       1.57822       1.57669       1.43795       1.03762      0.466810       0.00000       1.43779    
  0.208928E-03   29.4361       2.56733       3.40198       2.54655       3.39094      0.207812E-01  0.110434E-01   5.93748       1.53954       1.53789       1.40075       1.00701      0.452456       0.00000       1.40059    
  0.229085E-03   28.6134       2.50019       3.31348       2.47821       3.30179      0.219876E-01  0.116842E-01   5.78000       1.50136       1.49959       1.36405      0.976847      0.438320       0.00000       1.36389    
  0.251186E-03   27.8155       2.43544       3.22788       2.41214       3.21550      0.233049E-01  0.123846E-01   5.62764       1.46437       1.46246       1.32849      0.947773      0.424700       0.00000       1.32834    
  0.275420E-03   27.0282       2.37171       3.14352       2.34704       3.13041      0.246751E-01  0.131133E-01   5.47745       1.42788       1.42583       1.29343      0.919160      0.411298       0.00000       1.29328    
  0.301992E-03   26.2553       2.30935       3.06083       2.28324       3.04695      0.261164E-01  0.138803E-01   5.33018       1.39207       1.38988       1.25904      0.891167      0.398189       0.00000       1.25888    
  0.331127E-03   25.5028       2.24893       2.98048       2.22126       2.96577      0.276698E-01  0.147077E-01   5.18703       1.35722       1.35486       1.22557      0.864043      0.385492       0.00000       1.22542    
  0.363073E-03   24.7600       2.18944       2.90125       2.16016       2.88569      0.292806E-01  0.155661E-01   5.04585       1.32283       1.32030       1.19254      0.837336      0.372991       0.00000       1.19239    
  0.398101E-03   24.0356       2.13171       2.82414       2.10070       2.80765      0.310045E-01  0.164855E-01   4.90836       1.28930       1.28659       1.16035      0.811409      0.360860       0.00000       1.16021    
  0.436509E-03   23.3262       2.07540       2.74873       2.04257       2.73127      0.328305E-01  0.174601E-01   4.77384       1.25646       1.25355       1.12883      0.786109      0.349026       0.00000       1.12869    
  0.478622E-03   22.6264       2.01999       2.67440       1.98527       2.65593      0.347218E-01  0.184701E-01   4.64120       1.22406       1.22095       1.09774      0.761206      0.337379       0.00000       1.09761    
  0.524798E-03   21.9486       1.96669       2.60259       1.92991       2.58302      0.367810E-01  0.195711E-01   4.51292       1.19268       1.18934       1.06764      0.737222      0.326167       0.00000       1.06750    
  0.575429E-03   21.2809       1.91433       2.53189       1.87541       2.51117      0.389243E-01  0.207179E-01   4.38658       1.16176       1.15818       1.03797      0.713647      0.315148       0.00000       1.03784    
  0.630945E-03   20.6258       1.86318       2.46262       1.82200       2.44069      0.411738E-01  0.219224E-01   4.26270       1.13141       1.12758       1.00886      0.690588      0.304373       0.00000       1.00874    
  0.691816E-03   19.9894       1.81379       2.39543       1.77020       2.37221      0.435978E-01  0.232220E-01   4.14241       1.10191       1.09780      0.980562      0.668285      0.293957       0.00000      0.980448    
  0.758561E-03   19.3619       1.76525       2.32923       1.71914       2.30466      0.461096E-01  0.245696E-01   4.02380       1.07280       1.06841      0.952647      0.646335      0.283708       0.00000      0.952539    
