   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   36.5420       3.14617       4.16031       3.13361       4.15360      0.125574E-01  0.671622E-02   7.28721       1.86492       1.86410       1.71433       1.26869      0.575325       0.00000       1.71417    
  0.109648E-03   35.5848       3.06632       4.05625       3.05302       4.04914      0.132986E-01  0.710922E-02   7.10216       1.82041       1.81952       1.67142       1.23261      0.558358       0.00000       1.67126    
  0.120226E-03   34.6552       2.98915       3.95551       2.97504       3.94797      0.141109E-01  0.753990E-02   6.92301       1.77725       1.77630       1.62983       1.19779      0.541993       0.00000       1.62967    
  0.131825E-03   33.7368       2.91307       3.85611       2.89812       3.84812      0.149554E-01  0.798769E-02   6.74624       1.73464       1.73362       1.58879       1.16347      0.525871       0.00000       1.58863    
  0.144543E-03   32.8346       2.83855       3.75863       2.82271       3.75017      0.158460E-01  0.845999E-02   6.57288       1.69282       1.69173       1.54851       1.12988      0.510096       0.00000       1.54835    
  0.158489E-03   31.9543       2.76614       3.66375       2.74934       3.65478      0.168065E-01  0.896945E-02   6.40412       1.65207       1.65088       1.50927       1.09727      0.494789       0.00000       1.50911    
  0.173779E-03   31.0847       2.69477       3.57014       2.67696       3.56064      0.178034E-01  0.949824E-02   6.23760       1.61183       1.61056       1.47053       1.06513      0.479710       0.00000       1.47037    
  0.190545E-03   30.2358       2.62537       3.47896       2.60650       3.46890      0.188738E-01  0.100661E-01   6.07540       1.57259       1.57122       1.43277       1.03391      0.465067       0.00000       1.43261    
  0.208928E-03   29.4029       2.55752       3.38967       2.53751       3.37900      0.200078E-01  0.106680E-01   5.91652       1.53411       1.53264       1.39576       1.00340      0.450759       0.00000       1.39560    
  0.229085E-03   28.5806       2.49067       3.30160       2.46948       3.29031      0.211835E-01  0.112921E-01   5.75979       1.49614       1.49456       1.35924      0.973344      0.436670       0.00000       1.35908    
  0.251186E-03   27.7830       2.42618       3.21642       2.40371       3.20445      0.224688E-01  0.119747E-01   5.60816       1.45935       1.45765       1.32386      0.944369      0.423093       0.00000       1.32370    
  0.275420E-03   26.9962       2.36271       3.13247       2.33891       3.11979      0.238065E-01  0.126852E-01   5.45869       1.42305       1.42123       1.28898      0.915852      0.409734       0.00000       1.28882    
  0.301992E-03   26.2236       2.30060       3.05018       2.27539       3.03674      0.252145E-01  0.134334E-01   5.31213       1.38744       1.38548       1.25475      0.887951      0.396668       0.00000       1.25460    
  0.331127E-03   25.4714       2.24042       2.97022       2.21369       2.95598      0.267337E-01  0.142412E-01   5.16967       1.35277       1.35067       1.22145      0.860917      0.384012       0.00000       1.22130    
