   1000.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   61.2652       5.01870       6.99363       5.00294       6.98583      0.157569E-01  0.780662E-02   11.9888       2.79422       2.79309       2.64492       2.20873       1.54799       0.00000       2.64475    
  0.109648E-03   59.2628       4.86957       6.78464       4.85291       6.77638      0.166573E-01  0.825865E-02   11.6293       2.71492       2.71371       2.56728       2.13799       1.49557       0.00000       2.56710    
  0.120226E-03   57.3407       4.72629       6.58375       4.70865       6.57500      0.176404E-01  0.875339E-02   11.2836       2.63857       2.63727       2.49254       2.07009       1.44536       0.00000       2.49237    
  0.131825E-03   55.4509       4.58538       6.38611       4.56672       6.37684      0.186609E-01  0.926750E-02   10.9436       2.56340       2.56201       2.41898       2.00332       1.39603       0.00000       2.41880    
  0.144543E-03   53.6072       4.44785       6.19313       4.42812       6.18332      0.197349E-01  0.980935E-02   10.6114       2.48993       2.48844       2.34709       1.93819       1.34797       0.00000       2.34691    
  0.158489E-03   51.8255       4.31486       6.00639       4.29397       5.99599      0.208896E-01  0.103931E-01   10.2900       2.41873       2.41713       2.27745       1.87524       1.30159       0.00000       2.27727    
  0.173779E-03   50.0739       4.18407       5.82268       4.16199       5.81168      0.220861E-01  0.109987E-01   9.97367       2.34864       2.34692       2.20890       1.81335       1.25604       0.00000       2.20872    
  0.190545E-03   48.3799       4.05752       5.64479       4.03415       5.63314      0.233669E-01  0.116484E-01   9.66729       2.28066       2.27882       2.14244       1.75349       1.21205       0.00000       2.14226    
  0.208928E-03   46.7301       3.93422       5.47135       3.90950       5.45901      0.247205E-01  0.123362E-01   9.36851       2.21431       2.21234       2.07758       1.69519       1.16927       0.00000       2.07741    
  0.229085E-03   45.1091       3.81303       5.30080       3.78691       5.28775      0.261216E-01  0.130490E-01   9.07466       2.14901       2.14690       2.01376       1.63789       1.12726       0.00000       2.01359    
  0.251186E-03   43.5554       3.69681       5.13705       3.66916       5.12322      0.276473E-01  0.138274E-01   8.79238       2.08619       2.08393       1.95238       1.58297       1.08708       0.00000       1.95222    
  0.275420E-03   42.0303       3.58269       4.97616       3.55346       4.96152      0.292322E-01  0.146370E-01   8.51498       2.02441       2.02199       1.89204       1.52905       1.04766       0.00000       1.89187    
  0.301992E-03   40.5434       3.47140       4.81913       3.44051       4.80365      0.308966E-01  0.154888E-01   8.24415       1.96404       1.96145       1.83308       1.47647       1.00928       0.00000       1.83292    
  0.331127E-03   39.1102       3.36409       4.66751       3.33140       4.65110      0.326859E-01  0.164069E-01   7.98251       1.90564       1.90286       1.77607       1.42577      0.972333       0.00000       1.77591    
  0.363073E-03   37.7025       3.25867       4.51845       3.22413       4.50110      0.345389E-01  0.173590E-01   7.72523       1.84817       1.84521       1.71997       1.37596      0.936074       0.00000       1.71982    
  0.398101E-03   36.3428       3.15682       4.37423       3.12030       4.35585      0.365173E-01  0.183781E-01   7.47615       1.79247       1.78929       1.66561       1.32783      0.901099       0.00000       1.66546    
  0.436509E-03   35.0214       3.05782       4.23387       3.01921       4.21442      0.386085E-01  0.194576E-01   7.23363       1.73817       1.73477       1.61264       1.28104      0.867150       0.00000       1.61249    
  0.478622E-03   33.7244       2.96064       4.09596       2.91986       4.07538      0.407716E-01  0.205757E-01   6.99525       1.68476       1.68114       1.56054       1.23510      0.833848       0.00000       1.56040    
  0.524798E-03   32.4834       2.86765       3.96370       2.82453       3.94190      0.431193E-01  0.217934E-01   6.76643       1.63341       1.62953       1.51046       1.19111      0.802039       0.00000       1.51033    
  0.575429E-03   31.2674       2.77653       3.83394       2.73097       3.81088      0.455589E-01  0.230608E-01   6.54185       1.58298       1.57883       1.46128       1.14799      0.770891       0.00000       1.46116    
  0.630945E-03   30.0829       2.68777       3.70736       2.63965       3.68297      0.481145E-01  0.243910E-01   6.32262       1.53369       1.52927       1.41324       1.10596      0.740577       0.00000       1.41312    
  0.691816E-03   28.9443       2.60248       3.58540       2.55162       3.55958      0.508601E-01  0.258247E-01   6.11120       1.48609       1.48136       1.36685       1.06552      0.711479       0.00000       1.36674    
  0.758561E-03   27.8272       2.51881       3.46561       2.46511       3.43830      0.537006E-01  0.273102E-01   5.90341       1.43928       1.43423       1.32122       1.02583      0.682948       0.00000       1.32112    
  0.831745E-03   26.7497       2.43813       3.34980       2.38141       3.32091      0.567237E-01  0.288956E-01   5.70231       1.39391       1.38852       1.27702      0.987498      0.655457       0.00000       1.27693    
  0.911989E-03   25.7051       2.35997       3.23732       2.30005       3.20674      0.599171E-01  0.305748E-01   5.50679       1.34974       1.34400       1.23400      0.950304      0.628833       0.00000       1.23391    
  0.999975E-03   24.6809       2.28335       3.12688       2.22013       3.09457      0.632172E-01  0.323126E-01   5.31470       1.30632       1.30020       1.19170      0.913809      0.602743       0.00000       1.19162    
  0.109645E-02   23.7030       2.21027       3.02110       2.14348       2.98690      0.667837E-01  0.341979E-01   5.13038       1.26459       1.25805       1.15105      0.878898      0.577862       0.00000       1.15099    
  0.120223E-02   22.7465       2.13885       2.91749       2.06836       2.88133      0.704888E-01  0.361602E-01   4.94968       1.22363       1.21667       1.11117      0.844724      0.553544       0.00000       1.11112    
  0.131822E-02   21.8157       2.06939       2.81646       1.99503       2.77824      0.743582E-01  0.382140E-01   4.77327       1.18361       1.17619       1.07220      0.811423      0.529893       0.00000       1.07216    
  0.144540E-02   20.9239       2.00296       2.71936       1.92445       2.67894      0.785073E-01  0.404242E-01   4.60339       1.14500       1.13710       1.03461      0.779451      0.507257       0.00000       1.03458    
  0.158485E-02   20.0499       1.93792       2.62407       1.85513       2.58136      0.827935E-01  0.427114E-01   4.43648       1.10705       1.09863      0.997654      0.748083      0.485085       0.00000      0.997638    
  0.173775E-02   19.2081       1.87540       2.53202       1.78806       2.48688      0.873360E-01  0.451428E-01   4.27494       1.07025       1.06130      0.961835      0.717806      0.463747       0.00000      0.961832    
  0.190540E-02   18.3944       1.81507       2.44281       1.72295       2.39509      0.921261E-01  0.477145E-01   4.11804       1.03447       1.02495      0.927002      0.688475      0.443135       0.00000      0.927012    
  0.208923E-02   17.5975       1.75608       2.35530       1.65901       2.30492      0.970678E-01  0.503720E-01   3.96393      0.999300      0.989181      0.892761      0.659711      0.422958       0.00000      0.892785    
  0.229079E-02   16.8382       1.70007       2.27159       1.59769       2.21835      0.102378      0.532393E-01   3.81604      0.965483      0.954722      0.859839      0.632210      0.403751       0.00000      0.859877    
